Subject,Start Date,End Date
Makar Sankranti,14/01/2022,14/01/2022
Republic Day,26/01/2022,26/01/2022
Maha Shivaratri,01/03/2022,01/03/2022
Holi,18/03/2022,18/03/2022
Ram Navami,10/04/2022,10/04/2022
Mahavir Jayanti,14/04/2022,14/04/2022
Good Friday,15/04/2022,15/04/2022
Ramazan,03/05/2022,03/05/2022
Independance Day,15/08/20222,15/08/20222
Ganesh Chaturthi,31/08/2022,31/08/2022
Gandhi Jayanti,02/10/2022,02/10/2022
Deepavali,24/11/2022,28/11/2022
Merry Christmas,25/12/2022,25/12/2022
